"group","species","parameter","value","source/derivation","notes"
"icefish","Champsocephalus gunnari","preferred predator-prey mass ratio (mean)","200","calculated or assumed","."
"icefish","Champsocephalus gunnari","preferred predator-prey mass ratio (SD)","2","calculated or assumed","."
"icefish","Champsocephalus gunnari","Lmax cm","66","Fishbase, Gon & Heemstra","."
"icefish","Champsocephalus gunnari","Linf cm","66","Not available, used lmax","."
"icefish","Champsocephalus gunnari","Lmat cm","24","Williams 2004","."
"icefish","Champsocephalus gunnari","a (W=aL^b)","1.44999999999998E-3","Fishbase","."
"icefish","Champsocephalus gunnari","b (W=aL^b)","3.42","Fishbase","."
"icefish","Champsocephalus gunnari","wmat","76.2","calculated or assumed","."
"icefish","Champsocephalus gunnari","wmax","2000","Fishbase","."
"icefish","Champsocephalus gunnari","winf","2449","Fishbase","."
"icefish","Champsocephalus gunnari","distribution","Broad Antarctic",".","."
"","","","","",""
"toothfish","Dissostichus mawsoni","k (Von Bertalanffy)","7.0000000000000007E-2","Fishbase","."
"toothfish","Dissostichus mawsoni","fishbase Q/B at 1 deg C","0.8","Fishbase","."
"toothfish","Dissostichus mawsoni","min depth","0","Fishbase","usually 88-1600m"
"toothfish","Dissostichus mawsoni","max depth","2200","Fishbase","usually 88-1600m"
"toothfish","Dissostichus mawsoni","water column use","non DVM","Fishbase","."
"toothfish","Dissostichus mawsoni","time to maturity","8","Fishbase","."
"toothfish","Dissostichus mawsoni","egg size mm","4","Gon & Heemstra","."
"toothfish","Dissostichus mawsoni","egg mass g","3.3510321638291103E-2","calculated or assumed","."
"toothfish","Dissostichus mawsoni","preferred predator-prey mass ratio (mean)","100","calculated or assumed","."
"toothfish","Dissostichus mawsoni","preferred predator-prey mass ratio (SD)","2","calculated or assumed","."
"toothfish","Dissostichus mawsoni","Lmax cm","210","Mormede et al., 2014","."
"toothfish","Dissostichus mawsoni","Linf cm","169.1","Fishbase","."
"toothfish","Dissostichus mawsoni","Lmat cm","100","Gon & Heemstra","."
"toothfish","Dissostichus mawsoni","a (W=aL^b)","7.2399999999999904E-3","Fishbase","."
"toothfish","Dissostichus mawsoni","b (W=aL^b)","3.14","Fishbase","."
"toothfish","Dissostichus mawsoni","wmat","13795.5","calculated or assumed","."
"toothfish","Dissostichus mawsoni","wmax","120000","Mormede et al., 2014","."
"toothfish","Dissostichus mawsoni","winf","94836.4","Fishbase","."
"toothfish","Dissostichus mawsoni","distribution","Antarctic",".","."
"","","","","",""
"toothfish","Dissostichus eleginoides","k (Von Bertalanffy)","0.05","Fishbase","."
"toothfish","Dissostichus eleginoides","fishbase Q/B at 1 deg C","1.1000000000000001","Fishbase","."
"toothfish","Dissostichus eleginoides","min depth","50","Fishbase","usually 70-1500m"
"toothfish","Dissostichus eleginoides","max depth","3850","Fishbase","usually 70-1500m"
"toothfish","Dissostichus eleginoides","water column use","non DVM","Fishbase","."
"toothfish","Dissostichus eleginoides","time to maturity","11.1","Fishbase","."
"toothfish","Dissostichus eleginoides","egg size mm","4","Gon & Heemstra","For D. mawsoni"
"toothfish","Dissostichus eleginoides","egg mass g","3.3510321638291103E-2","calculated or assumed","."
"toothfish","Dissostichus eleginoides","preferred predator-prey mass ratio (mean)","100","calculated or assumed","."
"toothfish","Dissostichus eleginoides","preferred predator-prey mass ratio (SD)","2","calculated or assumed","."
"toothfish","Dissostichus eleginoides","Lmax cm","215","Gon & Heemstra","."
"toothfish","Dissostichus eleginoides","Linf cm","134.30000000000001","Fishbase","."
"toothfish","Dissostichus eleginoides","Lmat cm","95","Gon & Heemstra","FB lmat is 38 cm"
"toothfish","Dissostichus eleginoides","a (W=aL^b)","6.0299999999999902E-3","Fishbase","."
"toothfish","Dissostichus eleginoides","b (W=aL^b)","3.18","Fishbase","."
"toothfish","Dissostichus eleginoides","wmat","11734.9","calculated or assumed","."
"toothfish","Dissostichus eleginoides","wmax","135000","wikipedia","need a better source"
"toothfish","Dissostichus eleginoides","winf","54000","Fishbase","."
"toothfish","Dissostichus eleginoides","distribution","Broad Antarctic",".","."
"","","","","",""
"silverfish","Pleuragramma antarcticum","k (Von Bertalanffy)","0.14000000000000001","Fishbase","."
"silverfish","Pleuragramma antarcticum","fishbase Q/B at 1 deg C","2.8","Fishbase","."
"silverfish","Pleuragramma antarcticum","min depth","0","Fishbase","."
"silverfish","Pleuragramma antarcticum","max depth","728","Fishbase","."
"silverfish","Pleuragramma antarcticum","water column use","ontogenetic change","Gon & Heemstra","Larvae and post-larvae 0-135m; juveniles 50-400m; adults >400m"
"silverfish","Pleuragramma antarcticum","time to maturity","5.3","Gon & Heemstra","."
"silverfish","Pleuragramma antarcticum","egg size mm","1.9","Gon & Heemstra","."
"silverfish","Pleuragramma antarcticum","egg mass g","3.59136400182873E-3","calculated or assumed","."
"silverfish","Pleuragramma antarcticum","preferred predator-prey mass ratio (mean)","500","calculated or assumed","."
"silverfish","Pleuragramma antarcticum","preferred predator-prey mass ratio (SD)","2","calculated or assumed","."
"silverfish","Pleuragramma antarcticum","Lmax cm","25","Gon & Heemstra","."
"silverfish","Pleuragramma antarcticum","Linf cm","26.6","Fishbase","."
"silverfish","Pleuragramma antarcticum","Lmat cm","12.5","Gon & Heemstra","."
"silverfish","Pleuragramma antarcticum","a (W=aL^b)","5.62E-3","Fishbase","."
"silverfish","Pleuragramma antarcticum","b (W=aL^b)","3.18","Fishbase","."
"silverfish","Pleuragramma antarcticum","wmat","17.3","calculated or assumed","."
"silverfish","Pleuragramma antarcticum","wmax","200","Fishbase","."
"silverfish","Pleuragramma antarcticum","winf","174.2","Fishbase","."
"silverfish","Pleuragramma antarcticum","distribution","Antarctic",".","S of 60 degrees"
