"decade","metric_name","metric_group","scoring_method","fishing_median","climate_median","depletion_ratio","score","category","deviation"
"1971-1980","Size Spectrum Slope","Structure","range",-1.36076376914934,-1.36832618366559,0.994473237005526,0.680381884574668,"moderate",-1.36076376914934
"1971-1980","Mean Trophic Level","Trophic","trophic",3.06566545019946,3.07634819540761,0.996527459009972,1,"good",0.996531594914432
"1971-1980","High TL Indicator","Trophic","depletion",0.114807610298976,0.109548541913804,1.0480067401473,1,"good",1.05655571258766
"1971-1980","Large Fish Indicator","Structure","lfi",0.484735563508551,0.48861524566488,0.992059842195367,1,"good",1.61578521169517
"1971-1980","Mean Individual Weight","Structure","depletion",262.638637418947,261.091170503507,1.0059269216667,1,"good",0.879955436221391
"1971-1980","Mean Max Weight","Structure","depletion",677319.420866892,1468059.19820425,0.46137064615337,0.1,"critical",0.163986268001584
"1971-1980","Predator-Prey Ratio","Structure","default",0.000218838294579044,0.00061059358211892,0.358402546288839,1,"good",-0.296631496167677
"1971-1980","Total Exploitation Rate","Exploitation","exploitation",0.00436413672565297,0,NA,1,"good",0.0218206836282648
"1971-1980","Whale Exploitation Rate","Exploitation","exploitation",0.00578529355159433,0,NA,1,"good",0.144632338789858
"1971-1980","Krill Exploitation Rate","Exploitation","exploitation",0.00659854563660949,0,NA,1,"good",0.0659854563660949
"1981-1990","Total Biomass","Biomass","depletion",83613628676729.7,87934070254872.4,0.950867262647798,1,"good",0.872786756735177
"1981-1990","Baleen Whale Biomass","Biomass","depletion",607540971284.898,1151601748217.69,0.527561695894591,0.1,"critical",0.098646600987167
"1981-1990","All Whale Biomass","Biomass","depletion",648088528396.484,1756013676005.49,0.369068041583098,0.1,"critical",0.0989120965047163
"1981-1990","Seal Biomass","Biomass","depletion",467272701921.413,465435786227.733,1.00394665762289,1,"good",0.896582564068296
"1981-1990","Fish Biomass","Biomass","depletion",11174530966942.2,10500147165942.6,1.06422612848579,1,"good",1.05088077692165
"1981-1990","Krill Biomass","Biomass","depletion",12878706039638.1,13768318738350.9,0.935386976753031,0.75,"moderate",0.666752085955477
"1981-1990","LTL Biomass","Biomass","depletion",69752792889249.5,70520989176108.4,0.989106841866036,1,"good",0.895066486644817
"1981-1990","Apex Predator Biomass","Biomass","depletion",12608878967.7515,37910298069.2205,0.332597727000956,0.1,"critical",0.0317792722035412
"1981-1990","Size Spectrum Slope","Structure","range",-1.36040386594597,-1.36832885881761,0.994208268852497,0.680201932972987,"moderate",-1.36040386594597
"1981-1990","Mean Trophic Level","Trophic","trophic",3.05556993935296,3.06966597053102,0.995407959265478,1,"good",0.995172844599033
"1981-1990","High TL Indicator","Trophic","depletion",0.114495315128157,0.108505083739791,1.05520691917745,1,"good",1.06283152052139
"1981-1990","Large Fish Indicator","Structure","lfi",0.488534170402296,0.4916697770406,0.993622535317957,1,"good",1.62844723467432
"1981-1990","Mean Individual Weight","Structure","depletion",257.665840603187,259.492579119183,0.992960343905801,1,"good",0.871504007573893
"1981-1990","Mean Max Weight","Structure","depletion",621839.191196951,1452411.65771297,0.428142522744637,0.1,"critical",0.152286163216184
"1981-1990","Predator-Prey Ratio","Structure","default",0.000189143925751701,0.000606310238462119,0.311958983624385,1,"good",-0.297913145843702
"1981-1990","Total Exploitation Rate","Exploitation","exploitation",0.000688783496335347,0,NA,1,"good",0.00344391748167673
"1981-1990","Whale Exploitation Rate","Exploitation","exploitation",0.000416350939497339,0,NA,1,"good",0.0104087734874335
"1981-1990","Krill Exploitation Rate","Exploitation","exploitation",0.0010011980393,0,NA,1,"good",0.010011980393
"1991-2000","Total Biomass","Biomass","depletion",85720917560892.7,89587548563540.3,0.956839638268423,1,"good",0.87350224319183
"1991-2000","Baleen Whale Biomass","Biomass","depletion",595142613142.956,1138980016898.58,0.522522436138537,0.1,"critical",0.098807038177079
"1991-2000","All Whale Biomass","Biomass","depletion",632457882619.982,1735626631997.1,0.364397429124628,0.1,"critical",0.0986658345144371
"1991-2000","Seal Biomass","Biomass","depletion",469041985008.46,464747941159.552,1.00923951128905,1,"good",0.906440169697068
"1991-2000","Fish Biomass","Biomass","depletion",11484031140465.4,10739865884650.1,1.06928999522041,1,"good",1.05537927400102
"1991-2000","Krill Biomass","Biomass","depletion",13843056052743.5,14357081491915.5,0.964197080063841,0.75,"moderate",0.665411214930885
"1991-2000","LTL Biomass","Biomass","depletion",71696203717407,72182185363975.2,0.99326729103424,1,"good",0.894402036244942
"1991-2000","Apex Predator Biomass","Biomass","depletion",12763168962.8005,37804121806.4308,0.337613158378655,0.1,"critical",0.0327104557473108
"1991-2000","Size Spectrum Slope","Structure","range",-1.36452013907467,-1.37023745894313,0.99582749702897,0.682260069537336,"moderate",-1.36452013907467
"1991-2000","Mean Trophic Level","Trophic","trophic",3.05343830687279,3.07178714605813,0.994026656694333,1,"good",0.993968433518735
"1991-2000","High TL Indicator","Trophic","depletion",0.113878465330097,0.107838517358977,1.0560091896573,1,"good",1.06423887144489
"1991-2000","Large Fish Indicator","Structure","lfi",0.478097854648018,0.483547169172957,0.988730541977406,1,"good",1.59365951549339
"1991-2000","Mean Individual Weight","Structure","depletion",257.784244379186,258.9565008218,0.995473153062793,1,"good",0.88338300727852
"1991-2000","Mean Max Weight","Structure","depletion",598393.234966815,1392029.67013866,0.429871034937931,0.1,"critical",0.151021476863406
"1991-2000","Predator-Prey Ratio","Structure","default",0.000186387747891189,0.000588718433838875,0.316599136663352,1,"good",-0.298532741772133
"1991-2000","Total Exploitation Rate","Exploitation","exploitation",6.43199492965125e-05,0,NA,1,"good",0.000321599746482562
"1991-2000","Whale Exploitation Rate","Exploitation","exploitation",0.000503685271785551,0,NA,1,"good",0.0125921317946388
"1991-2000","Krill Exploitation Rate","Exploitation","exploitation",3.38698620571906e-05,0,NA,1,"good",0.000338698620571906
"2001-2010","Total Biomass","Biomass","depletion",83283048815809.4,87073360432710.2,0.956469905398564,1,"good",0.864677053140406
"2001-2010","Baleen Whale Biomass","Biomass","depletion",582179545766.415,1119650201609.4,0.519965561502677,0.1,"critical",0.0988171132767268
"2001-2010","All Whale Biomass","Biomass","depletion",617450828775.359,1712139284097.83,0.360631190762443,0.1,"critical",0.0984482206387815
"2001-2010","Seal Biomass","Biomass","depletion",468715505243.191,463742093125.374,1.01072452165017,1,"good",0.912420377961578
"2001-2010","Fish Biomass","Biomass","depletion",11308048982630.8,10529208275862.8,1.07396954133327,1,"good",1.05365132241487
"2001-2010","Krill Biomass","Biomass","depletion",13491778054537.2,13684043928278,0.985949630478496,0.75,"moderate",0.656989863158027
"2001-2010","LTL Biomass","Biomass","depletion",69522835834976.9,69907550304844.1,0.994496810885384,1,"good",0.884135058942358
"2001-2010","Apex Predator Biomass","Biomass","depletion",12953601383.5213,37661603064.4844,0.343947159162132,0.1,"critical",0.0337574624562355
"2001-2010","Size Spectrum Slope","Structure","range",-1.36145671014085,-1.36713242141468,0.995848455361804,0.680728355070425,"moderate",-1.36145671014085
"2001-2010","Mean Trophic Level","Trophic","trophic",3.05019438204041,3.0691195168856,0.993833692451184,1,"good",0.994344867071793
"2001-2010","High TL Indicator","Trophic","depletion",0.115569788038583,0.109484918819493,1.0555772364331,1,"good",1.06283003267442
"2001-2010","Large Fish Indicator","Structure","lfi",0.491957054666807,0.496020500868425,0.991807906740743,1,"good",1.63985684888936
"2001-2010","Mean Individual Weight","Structure","depletion",260.642243995664,261.28548912017,0.997538152131326,1,"good",0.88760435606295
"2001-2010","Mean Max Weight","Structure","depletion",604971.007722076,1417490.32884412,0.426790218890166,0.1,"critical",0.150680308712904
"2001-2010","Predator-Prey Ratio","Structure","default",0.000195102460347581,0.000606276280487085,0.321804541307199,1,"good",-0.297829251308218
"2001-2010","Total Exploitation Rate","Exploitation","exploitation",0.000124857839127724,0,NA,1,"good",0.000624289195638619
"2001-2010","Whale Exploitation Rate","Exploitation","exploitation",0.000946743437190589,0,NA,1,"good",0.0236685859297647
"2001-2010","Krill Exploitation Rate","Exploitation","exploitation",0,0,NA,1,"good",0
